Test dataset Recall = nan,Step = 21
Test dataset Precision = nan,Step = 21
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00395006,Step = 22
Test dataset MSE = 0.112571,Step = 22
Test dataset Accuracy = 0.04,Step = 22
Test dataset Cost = 0,Step = 22
Test dataset Recall = nan,Step = 22
Test dataset Precision = nan,Step = 22
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00394291,Step = 23
Test dataset MSE = 0.113198,Step = 23
Test dataset Accuracy = 0.04,Step = 23
Test dataset Cost = 0,Step = 23
Test dataset Recall = nan,Step = 23
Test dataset Precision = nan,Step = 23
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00393522,Step = 24
Test dataset MSE = 0.113796,Step = 24
Test dataset Accuracy = 0.04,Step = 24
Test dataset Cost = 0,Step = 24
Test dataset Recall = nan,Step = 24
Test dataset Precision = nan,Step = 24
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00392716,Step = 25
Test dataset MSE = 0.114366,Step = 25
Test dataset Accuracy = 0.04,Step = 25
Test dataset Cost = 0,Step = 25
Test dataset Recall = nan,Step = 25
Test dataset Precision = nan,Step = 25
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00391894,Step = 26
Test dataset MSE = 0.114909,Step = 26
Test dataset Accuracy = 0.04,Step = 26
Test dataset Cost = 0,Step = 26
Test dataset Recall = nan,Step = 26
Test dataset Precision = nan,Step = 26
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00391075,Step = 27
Test dataset MSE = 0.115428,Step = 27
Test dataset Accuracy = 0.04,Step = 27
Test dataset Cost = 0,Step = 27
Test dataset Recall = nan,Step = 27
Test dataset Precision = nan,Step = 27
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00390277,Step = 28
Test dataset MSE = 0.115923,Step = 28
Test dataset Accuracy = 0.04,Step = 28
Test dataset Cost = 0,Step = 28
Test dataset Recall = nan,Step = 28
Test dataset Precision = nan,Step = 28
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00389515,Step = 29
Test dataset MSE = 0.116393,Step = 29
Test dataset Accuracy = 0.04,Step = 29
Test dataset Cost = 0,Step = 29
Test dataset Recall = nan,Step = 29
Test dataset Precision = nan,Step = 29
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00388801,Step = 30
Test dataset MSE = 0.116837,Step = 30
Test dataset Accuracy = 0.04,Step = 30
Test dataset Cost = 0,Step = 30
Test dataset Recall = nan,Step = 30
Test dataset Precision = nan,Step = 30
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00388139,Step = 31
Test dataset MSE = 0.11725,Step = 31
Test dataset Accuracy = 0.04,Step = 31
Test dataset Cost = 0,Step = 31
Test dataset Recall = nan,Step = 31
Test dataset Precision = nan,Step = 31
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00387535,Step = 32
Test dataset MSE = 0.117625,Step = 32
Test dataset Accuracy = 0.04,Step = 32
Test dataset Cost = 0,Step = 32
Test dataset Recall = nan,Step = 32
Test dataset Precision = nan,Step = 32
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00386987,Step = 33
Test dataset MSE = 0.117956,Step = 33
Test dataset Accuracy = 0.04,Step = 33
Test dataset Cost = 0,Step = 33
Test dataset Recall = nan,Step = 33
Test dataset Precision = nan,Step = 33
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00386494,Step = 34
Test dataset MSE = 0.118236,Step = 34
Test dataset Accuracy = 0.04,Step = 34
Test dataset Cost = 0,Step = 34
Test dataset Recall = nan,Step = 34
Test dataset Precision = nan,Step = 34
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00386051,Step = 35
Test dataset MSE = 0.118455,Step = 35
Test dataset Accuracy = 0.04,Step = 35
Test dataset Cost = 0,Step = 35
Test dataset Recall = nan,Step = 35
Test dataset Precision = nan,Step = 35
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00385654,Step = 36
Test dataset MSE = 0.118609,Step = 36
Test dataset Accuracy = 0.04,Step = 36
Test dataset Cost = 0,Step = 36
Test dataset Recall = nan,Step = 36
Test dataset Precision = nan,Step = 36
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00385296,Step = 37
Test dataset MSE = 0.118692,Step = 37
Test dataset Accuracy = 0.04,Step = 37
Test dataset Cost = 0,Step = 37
Test dataset Recall = nan,Step = 37
Test dataset Precision = nan,Step = 37
=========================================================
Test dataset is group 1
Train dataset MSE = 0.0038497,Step = 38
Test dataset MSE = 0.118702,Step = 38
Test dataset Accuracy = 0.04,Step = 38
Test dataset Cost = 0,Step = 38
Test dataset Recall = nan,Step = 38
Test dataset Precision = nan,Step = 38
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00384669,Step = 39
Test dataset MSE = 0.118638,Step = 39
Test dataset Accuracy = 0.04,Step = 39
Test dataset Cost = 0,Step = 39
Test dataset Recall = nan,Step = 39
Test dataset Precision = nan,Step = 39
=========================================================
Test dataset is group 1
Train dataset MSE = 0.00384387,Step = 40
