-22.2904 12.0414 20.365 14.7911 -5.73603 -11.1487 28.0248 11.551 -5.10599 -0.562193 -16.9864 -3.95541 -15.1761 -12.3537 8.45026 -26.1614 -27.1685 -5.16622 -0.0195521 -7.16216 
-16.9864 -3.95541 -15.1761 -12.3537 8.45026 -26.1614 -27.1685 -5.16622 -0.0195521 -7.16216 -1.21736 -2.80972 8.37783 0.784715 52.7516 -1.20383 11.439 -4.81126 6.28685 1.92683 
-1.21736 -2.80972 8.37783 0.784715 52.7516 -1.20383 11.439 -4.81126 6.28685 1.92683 11.0096 -9.79605 3.72582 0.805861 1.36548 9.99393 15.66 -1.17983 -2.63575 -2.11688 
11.0096 -9.79605 3.72582 0.805861 1.36548 9.99393 15.66 -1.17983 -2.63575 -2.11688 -0.55353 -20.5782 5.61407 14.808 -5.67537 0.123448 8.34856 7.39073 2.74586 -9.04087 
-0.55353 -20.5782 5.61407 14.808 -5.67537 0.123448 8.34856 7.39073 2.74586 -9.04087 -10.3687 6.37978 -6.40972 11.4162 6.45784 -22.6635 -16.0111 6.86873 7.22036 0.175468 
-10.3687 6.37978 -6.40972 11.4162 6.45784 -22.6635 -16.0111 6.86873 7.22036 0.175468 8.03034 8.30547 -12.0763 -13.3499 -10.1586 -4.10344 4.29481 -0.00991896 4.28302 -1.19213 
8.03034 8.30547 -12.0763 -13.3499 -10.1586 -4.10344 4.29481 -0.00991896 4.28302 -1.19213 -6.65329 9.97689 -15.6751 -23.4594 -33.8731 -13.1284 -14.0957 -9.85806 -2.89215 -6.5639 
-6.65329 9.97689 -15.6751 -23.4594 -33.8731 -13.1284 -14.0957 -9.85806 -2.89215 -6.5639 8.92077 -15.5674 9.30348 -1.49032 20.52 8.30906 11.4442 4.15859 -20.1126 -0.945525 
8.92077 -15.5674 9.30348 -1.49032 20.52 8.30906 11.4442 4.15859 -20.1126 -0.945525 8.05107 -12.7999 -4.78234 1.61296 -2.9694 19.5758 -23.5693 -10.142 -2.98689 0.870873 
8.05107 -12.7999 -4.78234 1.61296 -2.9694 19.5758 -23.5693 -10.142 -2.98689 0.870873 -17.6823 19.4677 -6.06101 -26.0715 -16.0591 0.251049 -1.1603 -3.32323 1.6788 -8.09246 
